GENE,SCORE,Mutation,Expression hub,Regulator,Genomic abnormalities (CNV),meEthylation,#SIGPVALS
TRIM23,2.15599,0,25,1,0,0.02823,2
CPSF3,2.15582,0,57,1,0,0.406741,17
FOS,2.15508,0,24,1,0,0.0165885,12
CXXC1,2.15057,0,51,1,0,0.33685,0
PKN3,2.14907,0,24,1,0,0.0178175,0
CHRAC1,2.14889,0,24,1,1,0.0204392,0
TCEB3,2.14802,0,24,1,0,0.0180314,3
DVL2,2.1444,0,25,1,0,0.0305974,1
SCMH1,2.13962,0,53,1,0,0.362742,0
SNW1,2.13937,0,63,1,0,0.481067,1
AFF4,2.13865,0.315155,34,1,0,0.1328,0
ARID4A,2.13547,0,24,1,0,0.0205961,0
CDC7,2.13329,0,24,1,0,0.0210431,0
PHF16,2.13316,0,22,1,1,0,23
ZNF263,2.13269,0,24,1,0,0.0211645,9
ZNF689,2.13122,1.07366,25,1,0,0.0148296,2
ZNF266,2.13079,0,23,1,1,0.0123123,0
EGR3,2.12955,0,26,1,1,0.0480487,5
TAF4,2.1291,0,23,1,0,0.0100709,0
HNRPDL,2.12743,0,47,1,0,0.29427,6
DUSP1,2.12574,0.906578,25,1,0,0.0188214,5
CNOT6L,2.12389,1.33536,24,1,0,0,29
DCP2,2.12051,0,22,1,0,0,0
RLF,2.11811,0,24,1,0,0.0241462,0
SMARCD1,2.11194,0,25,1,0,0.0372328,0
DDX59,2.11163,0,24,1,0,0.0254698,6
BRWD1,2.10337,0,23,1,0,0.0153299,26
RERE,2.10116,0,23,1,0,0.0157815,0
ZFAND2B,2.10035,0,23,1,0,0.0159492,0
POLK,2.09673,0,24,1,0,0.0285161,0
MCM5,2.09629,0,94,1,0,0.85652,0
ZNF143,2.09437,0,23,1,0,0.0171711,3
EDC3,2.09399,0,25,1,0,0.0409012,0
NRF1,2.09283,1.15614,24,1,1,0.0120166,0
F2R,2.09216,0,23,1,0,0.0176231,0
HMG20A,2.08907,0,23,1,0,0.0182547,22
EIF2C1,2.08542,0,23,1,0,0.018999,0
EREG,2.08213,0,38,1,0,0.197082,0
JDP2,2.08207,0,82,1,0,0.717499,0
RAB27B,2.07876,0,26,1,0,0.055844,0
TSPYL2,2.0753,0,21,1,1,0,0
SNAPC1,2.07252,0,26,1,0,0.0571192,0
CCNK,2.07198,0,22,1,0,0.00992014,0
CEBPG,2.07172,0,47,1,1,0.308244,0
NF1,2.0662,0.747147,42,1,0,0.2348,0
CREBBP,2.06265,0,21,1,0,0,0
KDM2A,2.06265,0,21,1,0,0,2
ZNF248,2.06265,0,21,1,0,0,24
ZNF83,2.062,0,23,1,1,0.0263732,15
CDCA4,2.0491,0,33,1,0,0.144697,0
ZNF33B,2.04685,0,22,1,0,0.0150563,11
PRPF4B,2.04359,1.08407,27,1,0,0.0562159,1
ZDHHC3,2.03898,0,56,1,0,0.418795,1
IFT57,2.03696,0,25,1,0,0.052559,2
NEDD8,2.03585,0,23,1,0,0.0291321,0
MEX3B,2.02946,0.774691,23,1,0,0.0171162,30
PRMT7,2.02856,0,25,1,0,0.0542771,7
MYPOP,2.01743,0,20,1,1,0,0
ZNF410,2.01243,0,22,1,0,0.0220925,0
DIP2B,2.00478,0,20,1,0,0,3
EHMT1,2.00478,0,20,1,0,0,7
NFRKB,2.00478,0,20,1,0,0,10
ZBTB39,2.00478,0,20,1,0,0,0
HMG20B,2.00383,0,65,1,1,0.535015,0
NUDT21,2.00342,0,50,1,0,0.355099,0
CDC42,2.00328,1.00922,23,1,0,0.018433,0
NCOR1,2.0016,0,23,1,0,0.0361334,2
PPARG,1.99497,0,28,1,0,0.096626,17
PPP2R5D,1.99194,0,22,1,0,0.026279,0
AATF,1.98885,0,23,1,0,0.0387398,0
RBM4B,1.98643,0,22,1,0,0.0274068,2
GPS2,1.98091,0,23,1,0,0.0403614,5
DIDO1,1.97856,0,22,1,0,0.0290154,20
ZNF14,1.97658,0,21,1,1,0.0201787,13
ZNF548,1.96905,1.26281,21,1,1,0,31
RBM15B,1.96786,0,58,1,0,0.456989,0
RAB6B,1.96584,0,21,1,0,0.0197877,0
TRIM56,1.95957,0,19,1,1,0,0
ZC4H2,1.95957,0,19,1,1,0,2
HOXA6,1.95588,0,34,1,1,0.178165,0
HOXB4,1.95492,0,27,1,0,0.0929835,0
CPSF7,1.9542,0,21,1,0,0.0221662,0
CDK7,1.95365,0,21,1,0,0.0222792,1
ING1,1.94991,0,22,1,0,0.0348711,0
RC3H1,1.94692,0,19,1,0,0,1
TRIM32,1.94692,0,19,1,0,0,0
ZMYM1,1.94692,0,19,1,0,0,0
ZNF292,1.94692,0,19,1,0,0,13
DCP1A,1.94519,0,20,1,0,0.0121813,0
CLK2,1.93916,0,22,1,0,0.037068,3
TAF1C,1.93878,0,21,1,0,0.0253179,0
LZTS1,1.93395,1.18776,88,1,1,0.800898,1
FOXP4,1.93384,1.06854,27,1,0,0.0789167,0
ZFP36,1.93235,0,21,1,1,0.0292188,10
THRA,1.93105,0,20,1,0,0.0150717,0
HRAS,1.92455,0,36,1,0,0.205637,2
SCML2,1.92208,0.982967,20,1,0,0,6
ZNF57,1.91163,0,33,1,1,0.175382,0
SUPT5H,1.91073,0.774691,22,1,1,0.0321438,0
RSF1,1.90294,0,42,1,0,0.28102,16
RAB9A,1.90171,0,18,1,1,0,3
ZNF302,1.90171,0,18,1,1,0,33
CHD8,1.89959,0,22,1,0,0.045157,0
TP53BP1,1.89932,0,19,1,0,0.00973061,0
ZNF193,1.89571,0,20,1,0,0.0222947,3
ZNF784,1.89488,0,19,1,1,0.0132227,0
ZNF212,1.89343,0,21,1,1,0.037173,0
ZCCHC3,1.88906,0,18,1,0,0,7
ZRSR2,1.88906,0,18,1,0,0,0
RFXANK,1.88878,0,21,1,1,0.0381241,3
HOXB7,1.88714,0,26,1,0,0.095011,0
DBP,1.88677,0,19,1,1,0.0148805,0
PHF7,1.88621,0,25,1,0,0.0833729,0
RBM26,1.88175,0,21,1,0,0.036976,21
POLR3F,1.87835,0,20,1,0,0.0258425,0
PHF12,1.87026,0,19,1,0,0.0156689,0
ELL,1.86874,0.739929,20,1,1,0.0176685,0
ZSCAN16,1.86249,0,20,1,0,0.0290855,26
ZKSCAN5,1.8614,0,19,1,1,0.0200657,1
GEMIN7,1.85599,0,19,1,1,0.0211729,0
TRAF7,1.85335,0,22,1,0,0.0546073,0
CASP9,1.84585,0,21,1,0,0.0443142,0
FOXK1,1.84384,0,17,1,1,0,3
XAB2,1.84384,0,17,1,1,0,0
SREBF2,1.83945,0.634512,19,1,0,0.0110555,0
PIAS3,1.83821,0,19,1,0,0.0222209,0
ZNRF2,1.83376,0,20,1,1,0.0375429,2
DMRTA1,1.83119,0,17,1,0,0,0
ZFYVE27,1.83119,0,17,1,0,0,0
ZNF500,1.83119,0,17,1,0,0,8
DDX50,1.83036,0,19,1,0,0.0238256,35
TRIM52,1.82541,0,18,1,0,0.0130102,5
ZNF551,1.82498,0,18,1,1,0.0156837,25
ZNF319,1.82396,0,18,1,0,0.0133055,0
GAK,1.82156,0,50,1,0,0.392271,1
CBFA2T2,1.81531,0,18,1,0,0.0150746,1
TAF1A,1.81144,0,19,1,0,0.0276936,0
SNAPC3,1.81135,0,18,1,0,0.0158845,1
TARBP2,1.80994,0,18,1,0,0.016173,0
MXD3,1.80834,0,19,1,0,0.0283271,0
HINFP,1.80671,0,18,1,0,0.0168329,5
HABP4,1.80618,0,19,1,0,0.028768,0
MBTPS1,1.80531,1.77989,29,1,0,0.11661,0
EWSR1,1.80399,1.68403,25,1,0,0.0712183,0
PRPF38B,1.80126,0,18,1,0,0.0179461,26
ZNFX1,1.79807,0,23,1,0,0.0777353,2
DNM2,1.79249,0.886057,22,1,1,0.0543967,1
MAPK11,1.78928,0,19,1,1,0.0348068,0
STYK1,1.78676,0,18,1,0,0.0209107,1
HIRA,1.78655,0,19,1,0,0.0327805,0
KDM5C,1.78598,0,16,1,1,0,16
ZNF226,1.78598,0,16,1,1,0,9
OSM,1.78471,0,20,1,0,0.0449837,1
NFIC,1.78467,0,17,1,1,0.0120953,0
MAP2K4,1.78087,0,18,1,0,0.0221145,0
FBXW7,1.77935,0,21,1,0,0.0579078,3
TBX21,1.77762,0,28,1,0,0.141052,0
MKL2,1.77333,0,16,1,0,0,0
PCGF1,1.77294,0,19,1,0,0.0355628,0
HDAC2,1.77017,0.928118,19,1,0,0.0201671,0
IKZF4,1.76558,0.779892,17,1,0,0,1
NUFIP1,1.76281,0,20,1,0,0.0494594,3
ZNF187,1.76152,0,19,1,0,0.0378958,13
ZNF800,1.7606,0,25,1,1,0.111634,0
MYBL2,1.75685,0,26,1,0,0.121644,0
ZKSCAN4,1.75537,0,17,1,0,0.0154983,2
ZFAND2A,1.74947,0,51,1,1,0.421422,0
CDK10,1.7492,0,63,1,0,0.560817,4
VPS72,1.74792,1.0846,59,1,0,0.49512,3
TFDP1,1.74714,0,60,1,0,0.525759,0
MERTK,1.74679,0,17,1,0,0.0172517,30
ZNF32,1.7438,0,18,1,0,0.0296906,0
ZC3H12A,1.74093,0,19,1,0,0.0421044,7
BRD4,1.7361,0,57,1,1,0.495117,0
GSC,1.73598,0,22,1,0,0.0785994,0
ZNF512B,1.73519,0,40,1,0,0.291654,26
WASL,1.72812,0,15,1,1,0,0
ZNF182,1.72812,0,15,1,1,0,0
ZNF34,1.72812,0,15,1,1,0,0
ZNF708,1.72812,0,15,1,1,0,35
ZNF507,1.72793,0,19,1,1,0.0473469,7
PEX14,1.72732,0,18,1,0,0.0330588,0
HOXB5,1.7261,0,30,1,0,0.175236,0
ERF,1.72121,0,17,1,1,0.0250672,0
ZNF304,1.72031,0,16,1,1,0.0134234,33
PGBD1,1.71816,0.617983,18,1,0,0.0243051,0
PIR,1.71547,0,15,1,0,0,0
ZBTB47,1.71547,0,15,1,0,0,0
ZNF2,1.71547,0,15,1,0,0,10
RXRB,1.71439,0,28,1,0,0.153976,0
ABL1,1.71244,0.50307,21,1,0,0.0629316,0
EDC4,1.71209,0.716699,18,1,0,0.0238477,0
DMAP1,1.70976,0,18,1,0,0.0366483,0
POLR3G,1.70474,0,16,1,0,0.0140204,3
SS18L1,1.70127,0,27,1,0,0.14483,0
HTT,1.698,0,16,1,0,0.0153971,0
NCOA2,1.69717,0,20,1,1,0.0654637,0
SAP130,1.69257,1.10568,18,1,0,0.0211489,0
EGR1,1.69065,0,16,1,0,0.0168996,1
HDAC3,1.68974,0.882729,21,1,0,0.0610437,2
AFF2,1.68882,1.1549,16,1,1,0,2
HDAC9,1.68478,0,25,1,1,0.127131,5
PPP4C,1.68213,0,44,1,0,0.349808,16
FZD1,1.67879,1.31966,21,1,1,0.0583519,0
KDM4A,1.67809,0,19,1,0,0.0549491,15
STK40,1.67113,0,17,1,0,0.0327182,15
ZIK1,1.67025,0,14,1,1,0,13
RAB8A,1.65962,0,52,1,1,0.451613,0
BMX,1.65761,0,14,1,0,0,0
DDX54,1.65761,0,14,1,0,0,22
NR4A1,1.65761,0,14,1,0,0,0
SRFBP1,1.65761,0,14,1,0,0,0
ZCCHC18,1.65761,0,14,1,0,0,16
ZNF280C,1.65761,0,14,1,0,0,2
ZNF821,1.65761,0,14,1,0,0,0
ZNF84,1.65449,0,16,1,0,0.0242911,29
TRIP13,1.6507,0,16,1,0,0.0250662,0
NEO1,1.65011,0,18,1,0,0.0488419,0
TARBP1,1.64889,0,41,1,0,0.32112,29
TSC22D2,1.64796,0,16,1,0,0.0256272,0
ZNF567,1.64586,0,19,1,1,0.0641223,30
MED26,1.64339,0,15,1,1,0.0173194,0
ATXN3,1.6423,0,15,1,0,0.0149553,1
BCOR,1.64155,2.4045,17,1,1,0,23
RAB40B,1.64085,0,15,1,0,0.0152528,15
YAF2,1.63656,0,15,1,0,0.0161295,10
DDX58,1.63604,0,22,1,0,0.0990268,0
CTNNB1,1.62807,0,15,1,0,0.0178643,2
RAP2B,1.62782,0,16,1,0,0.0297426,18
PML,1.62712,0,19,1,0,0.0653673,0
ZNF642,1.62359,1.09205,15,1,0,0,0
HLTF,1.62094,0,56,1,0,0.504243,18
ETV3,1.61406,1.04239,17,1,0,0.0264577,0
CPSF1,1.61239,0,13,1,1,0,0
TAF9B,1.61239,0,13,1,1,0,15
ZFP30,1.61239,0,13,1,1,0,26
ZNF680,1.61239,0,13,1,1,0,28
ECD,1.61131,0,16,1,0,0.0331183,0
DIP2A,1.59974,0,13,1,0,0,0
SNAI3,1.59974,0,13,1,0,0,0
TAF8,1.59974,0,13,1,0,0,7
TRIM37,1.59974,0,13,1,0,0,2
ZNF167,1.59974,0,13,1,0,0,0
MCM8,1.59937,0,14,1,0,0.0119042,0
CDKN2C,1.59317,0,15,1,0,0.024998,0
IGF2BP3,1.59245,0,21,1,1,0.0986943,0
RAB35,1.59141,0,17,1,0,0.0490125,0
PRPF3,1.59111,1.15989,18,1,0,0.0409552,0
TXNL4A,1.5852,0,14,1,0,0.0147992,0
ZNF10,1.58401,0,14,1,0,0.0150425,34
SQSTM1,1.58219,0,16,1,0,0.0390707,15
CNOT4,1.58171,0,14,1,1,0.0180997,6
ZFYVE1,1.58065,0,14,1,0,0.0157294,0
MAP3K12,1.57848,0,14,1,0,0.016173,5
EGFR,1.5775,0.640165,34,1,1,0.244497,0
SETD1B,1.57716,0,16,1,0,0.0400987,11
RABL5,1.56944,0,55,1,1,0.505527,13
RB1,1.56574,0,52,1,0,0.468217,3
CDKN1C,1.56484,0,28,1,0,0.184545,0
ZNF559,1.56024,0,13,1,1,0.0106593,10
MNAT1,1.55745,0,20,1,0,0.0914355,0
ZBTB9,1.55619,0,14,1,0,0.0207295,2
ZNF329,1.55576,0,52,1,1,0.472843,20
PIM2,1.55453,0,12,1,1,0,0
RAB39B,1.55453,0,12,1,1,0,22
ZFP1,1.54966,0,14,1,0,0.0220635,16
ZNF134,1.5495,0,18,1,1,0.0719924,3
FOXJ2,1.54301,0,14,1,0,0.0234232,17
EIF4E,1.54188,0,12,1,0,0,0
ISY1,1.54188,0,12,1,0,0,0
MED10,1.54188,0,12,1,0,0,0
SUMO4,1.54188,0,12,1,0,0,0
TULP4,1.54188,0,12,1,0,0,0
NONO,1.54158,0.841638,13,1,1,0,0
TRERF1,1.53973,0,14,1,0,0.0240938,4
ZDHHC24,1.53684,0,22,1,0,0.119303,0
ZNF573,1.53555,0,13,1,1,0.0157078,24
MED20,1.53471,0,16,1,0,0.0487741,24
ATF7,1.53118,0,14,1,0,0.0258426,0
ZNF23,1.5232,0,19,1,0,0.086609,10
CDK8,1.51832,0,13,1,0,0.0166426,0
SKP2,1.4988,0,14,1,0,0.032461,15
FOXO4,1.49667,0,11,1,1,0,1
ZNF574,1.49667,0,11,1,1,0,10
ZNF586,1.49667,0,11,1,1,0,27
ZNF814,1.49667,0,11,1,1,0,28
PPP2R5A,1.49401,0,19,1,0,0.0925759,0
WWP1,1.49222,0,37,1,1,0.30842,18
MEN1,1.49086,0,52,1,0,0.483523,12
ZNF785,1.49081,0,16,1,0,0.0577492,19
PRPF6,1.49043,0,32,1,0,0.247062,1
ZBTB33,1.48849,1.32239,13,1,0,0,9
PMF1,1.48584,0,50,1,0,0.460893,0
ATF6B,1.48571,0,14,1,0,0.0351354,0
ZNF8,1.48475,0,12,1,1,0.014263,8
CSNK1E,1.4847,0,60,1,0,0.5794,0
CHD3,1.48402,0,11,1,0,0,2
CSTF2,1.48402,0,11,1,0,0,0
RAD54L2,1.48402,0,11,1,0,0,0
TRIM47,1.48402,0,11,1,0,0,11
ZNF589,1.48402,0,11,1,0,0,0
RBL1,1.4838,0,12,1,0,0.0118717,1
BRCA1,1.4808,0,38,1,0,0.319995,0
NR1D1,1.48055,0,14,1,0,0.0361914,10
ZNF408,1.47803,0,12,1,0,0.0130502,0
GNE,1.47798,0,57,1,0,0.545293,1
CCNB1,1.47637,0,53,1,0,0.498312,2
SMARCAD1,1.47595,0,13,1,0,0.0253042,30
ZNF493,1.47309,0,12,1,1,0.0166461,24
ID1,1.46901,0,13,1,0,0.0267224,1
ZNF350,1.46722,0,17,1,1,0.0769826,2
PBX4,1.46659,0,12,1,1,0.017974,3
E2F5,1.46466,0,12,1,1,0.0183702,1
CCDC85B,1.46035,0,13,1,0,0.0284919,0
ZDHHC14,1.45998,0,12,1,0,0.0167403,0
RYBP,1.45288,0,44,1,0,0.396669,5
GTF2I,1.45165,0,12,1,1,0.0210288,1
NAB2,1.44675,0,12,1,0,0.0194447,1
NFATC3,1.44605,0,16,1,0,0.0668978,2
EED,1.44558,1.20273,13,1,0,0.0108272,1
ZNF747,1.44247,0,11,1,0,0.00849158,1
GEMIN8,1.4388,0,10,1,1,0,0
ZNF236,1.43416,1.0048,15,1,0,0.0402195,20
ZNF213,1.4267,2.09909,14,1,0,0.0110991,0
ZFX,1.42615,0,10,1,0,0,0
ZNF385C,1.42615,0,10,1,0,0,0
ZNF407,1.42615,0,10,1,0,0,5
RQCD1,1.42324,0,11,1,0,0.0124231,1
MAP3K10,1.42149,0,11,1,1,0.0153656,0
ZMAT3,1.41724,0,14,1,0,0.0491312,0
ZNF587,1.41618,0,11,1,1,0.0164506,22
ZNF254,1.41446,0.649752,14,1,1,0.0411116,10
ZNF85,1.40936,0,13,1,1,0.0414999,10
PKNOX1,1.39417,1.11182,13,1,0,0.0228994,0
DDX20,1.39102,0,20,1,0,0.125455,0
ZFYVE20,1.38697,0,11,1,0,0.0198359,0
PUF60,1.38595,0,52,1,1,0.507553,0
ERCC3,1.38557,0,18,1,0,0.102915,5
CDH1,1.38351,0,39,1,0,0.351709,0
ZNF358,1.38094,0,9,1,1,0,0
ZNF383,1.38094,0,9,1,1,0,0
MEAF6,1.38037,0,15,1,0,0.0684955,20
PRDM10,1.37509,0,11,1,0,0.0222652,1
MYCN,1.3712,0,11,1,0,0.0230604,0
PAF1,1.37049,0,10,1,1,0.0139637,0
BRPF3,1.36829,0,9,1,0,0,3
ZNF33A,1.36829,0,9,1,0,0,4
ZNF510,1.36829,0,9,1,0,0,3
ZNF839,1.36829,0,9,1,0,0,6
ZSCAN2,1.36809,0,12,1,0,0.0355224,6
PLK1,1.36505,0,10,1,0,0.0124895,0
ZNF202,1.36146,0,10,1,0,0.0132231,10
ZNF426,1.35857,0,12,1,1,0.040055,3
ZDHHC6,1.35611,0,43,1,0,0.40462,0
PPP2R2A,1.35545,0,48,1,1,0.466478,0
CHD6,1.35279,0,10,1,0,0.0149963,0
SORBS3,1.35206,0,35,1,1,0.313416,0
SUV39H2,1.34495,0,10,1,0,0.0165983,5
JAK1,1.34485,0,87,1,0,0.927325,0
PCGF3,1.33975,0,22,1,0,0.15959,0
IL6,1.33532,0,13,1,1,0.0566339,0
ZNHIT1,1.33515,0,35,1,1,0.316871,0
ZNF473,1.3334,0,12,1,1,0.0451993,5
ZNF44,1.33185,0,32,1,1,0.282062,7
ZNF43,1.33031,0.950782,22,1,1,0.147753,25
DDX17,1.32901,2.27737,13,1,0,0.0161743,0
ZC3H3,1.32777,0,9,1,1,0.0108685,0
MTERF,1.32702,0,17,1,1,0.10564,21
HNRNPH1,1.32668,0,10,1,0,0.0203319,0
ZNF768,1.32636,0,11,1,0,0.0322254,1
BRAF,1.32224,0,10,1,1,0.023825,0
PHF5A,1.31936,0,12,1,0,0.0454838,0
ZC3H18,1.31597,2.4908,13,1,0,0.0151704,0
ZNF276,1.31444,0,12,1,0,0.0464892,1
DNLZ,1.31043,0,8,1,0,0,0
GLI2,1.31043,0,8,1,0,0,1
POLR3H,1.31043,0,8,1,0,0,0
SMARCA1,1.31043,0,8,1,0,0,0
ZBTB46,1.31043,0,8,1,0,0,0
ZNF334,1.31043,0,8,1,0,0,0
ZNF74,1.31043,0,8,1,0,0,34
ZNF622,1.30505,0,10,1,0,0.0247539,0
SUPT3H,1.30339,0,21,1,0,0.155195,1
BCORL1,1.29628,1.54363,10,1,0,0,1
PLAG1,1.29621,0,9,1,1,0.0173185,0
SCYL1,1.29432,0,17,1,0,0.109739,0
C11orf30,1.29148,0,11,1,0,0.0393548,1
CREB3,1.28914,0,13,1,0,0.0634884,22
HSF1,1.28835,0,10,1,1,0.0307539,0
BRD8,1.28736,0,10,1,0,0.028369,0
ZNF552,1.28391,0,11,1,1,0.043487,1
ZNF571,1.28347,0,10,1,1,0.031751,24
TRIM7,1.28266,0,10,1,0,0.0293303,0
ZNF282,1.28118,0,12,1,1,0.0558735,0
POLR2F,1.28024,0,29,1,0,0.254545,0
GATA3,1.26999,0,25,1,0,0.209329,0
BAHD1,1.2676,0,9,1,0,0.020582,0
NFIA,1.26732,0,12,1,0,0.0561203,0
POLR2J,1.26521,0,7,1,1,0,0
ZNF564,1.26521,0,7,1,1,0,3
ZNF77,1.26521,0,7,1,1,0,33
ZXDB,1.26521,0,7,1,1,0,1
SNRNP35,1.26434,0,10,1,0,0.033075,0
BTBD10,1.26331,0,17,1,0,0.116078,2
HES6,1.25628,0,20,1,0,0.152997,2
SIRT7,1.2557,0,47,1,0,0.472453,0
TAF1B,1.25365,0,9,1,0,0.0234337,2
TRIM35,1.25316,0,8,1,1,0.0142916,0
TRIM39,1.25256,0,7,1,0,0,0
ZFY,1.25256,0,7,1,0,0,0
ZNF469,1.25256,0,7,1,0,0,0
ZNF831,1.25256,0,7,1,0,0,0
SPIB,1.2507,0,30,1,1,0.274996,2
ZNF691,1.24303,0,10,1,0,0.0374309,0
ZNF565,1.24204,0,9,1,1,0.028391,13
TLK1,1.24101,0,9,1,0,0.0260159,1
ZNF503,1.23963,0,10,1,0,0.0381257,0
RARA,1.23401,0,27,1,0,0.24034,0
C17orf79,1.22986,0,27,1,0,0.241187,9
WDR77,1.229,0,40,1,0,0.395119,0
GMEB1,1.22794,0,10,1,0,0.040516,1
RNF14,1.21671,0,72,1,0,0.776108,3
ZNF142,1.21571,0,12,1,0,0.0666689,0
BCL2A1,1.21312,0,78,1,0,0.847805,13
RAD21,1.21244,7.97469,22,1,1,0.0510577,0
ZBTB2,1.20958,0,8,1,0,0.0206137,0
ZNF138,1.20735,0,6,1,1,0,26
ZNF554,1.20735,0,6,1,1,0,23
ZNF682,1.20735,0,6,1,1,0,9
SP4,1.20582,0,8,1,1,0.0239683,1
EPC1,1.20272,0,7,1,0,0.0101889,6
PRKCE,1.20164,0,8,1,0,0.0222367,0
TULP3,1.19647,0,7,1,0,0.0114649,0
NR6A1,1.19523,0,9,1,0,0.035374,2
PCBD2,1.1947,0,6,1,0,0,0
SALL2,1.1947,0,6,1,0,0,0
TRIM66,1.1947,0,6,1,0,0,0
ZCCHC4,1.1947,0,6,1,0,0,1
ZNF608,1.1947,0,6,1,0,0,1
CTDP1,1.19339,0,12,1,0,0.0712312,0
ZFP3,1.19287,0,12,1,0,0.0713388,2
PCGF2,1.19229,0,8,1,0,0.0241484,0
EPAS1,1.18286,0,29,1,0,0.27445,30
ZNF354A,1.18191,0,7,1,0,0.0144421,2
ZNF600,1.18149,0,8,1,1,0.02894,29
SLC11A1,1.17883,0,62,1,0,0.665574,15
GTF3C4,1.17883,0,28,1,0,0.263447,0
TRIM41,1.17499,0,8,1,0,0.0276828,0
NOD2,1.17495,0,52,1,0,0.548095,5
CBX2,1.17426,0,17,1,0,0.13428,4
HOXA11,1.17398,0,20,1,1,0.172404,0
SNRNP40,1.17126,0,7,1,0,0.0166181,0
BPTF,1.17043,0.21467,8,1,0,0.0249247,0
MYEF2,1.16782,0,47,1,0,0.490417,2
POGZ,1.16408,0,10,1,0,0.053569,5
ZNF75D,1.16383,1.89279,8,1,1,0,1
ZNF175,1.16176,0,7,1,1,0.0211463,8
THRAP3,1.15804,3.35556,12,1,0,0.020753,0
CDYL,1.15378,0,84,1,0,0.930899,0
DAXX,1.15371,1.29073,10,1,0,0.0334912,0
ZNF114,1.15312,0,8,1,1,0.034739,0
ZNF671,1.1498,0,6,1,1,0.0117641,23
ZNF251,1.14949,0,5,1,1,0,1
ZNF253,1.14949,0,5,1,1,0,1
ZNF607,1.14949,0,5,1,1,0,23
CPSF4,1.14708,0,6,1,1,0.0123199,1
ARHGEF11,1.14498,1.09909,13,1,0,0.0740535,2
ZNF296,1.14179,0,7,1,1,0.0252288,0
FLYWCH1,1.13684,0,5,1,0,0,0
SOX13,1.13684,0,5,1,0,0,1
ZNF428,1.13372,0,9,1,1,0.0505328,0
RUNX2,1.1298,0,18,1,0,0.155195,0
DGKQ,1.12524,0,9,1,0,0.049681,0
HOXA1,1.1232,0,7,1,1,0.0290288,0
ZNF224,1.12304,0,7,1,1,0.0290617,1
RELA,1.12179,0,38,1,0,0.393379,1
MLF1,1.1195,0,16,1,0,0.133644,0
ZNF434,1.11446,0,6,1,0,0.0164017,10
ZNF420,1.10838,1.9393,9,1,1,0.0223625,14
IRF4,1.10601,0,14,1,0,0.112747,1
SOX12,1.10442,0,6,1,0,0.0184534,7
TOB1,1.10139,0,44,1,0,0.468513,5
SNRPE,1.10092,0,6,1,0,0.0191698,34
FOXP3,1.09162,0,4,1,1,0,0
ZFP41,1.09162,0,4,1,1,0,0
ZNF3,1.09162,0,4,1,1,0,7
ZNF30,1.09162,0,4,1,1,0,3
ZNF382,1.09162,0,4,1,1,0,0
ZNF404,1.09162,0,4,1,1,0,24
ZNF418,1.09162,0,4,1,1,0,19
ZNF449,1.09162,0,4,1,1,0,0
ZNF775,1.09162,0,4,1,1,0,1
ZNF846,1.09162,0,4,1,1,0,0
IGHMBP2,1.09054,2.35164,11,1,0,0.0399859,0
CSRNP1,1.09037,0,45,1,0,0.482591,0
GTF2H4,1.08769,0,6,1,0,0.0218739,0
PTPRO,1.08581,0,17,1,0,0.152359,22
RNF8,1.08178,0,7,1,0,0.034909,0
PPP5C,1.08123,0,5,1,1,0.0139511,2
LIN54,1.07913,0,7,1,0,0.0354501,0
HMGA1,1.07897,0,4,1,0,0,0
IGSF1,1.07897,0,4,1,0,0,2
INPP4B,1.07897,0,4,1,0,0,4
MORC4,1.07897,0,4,1,0,0,0
PHRF1,1.07897,0,4,1,0,0,1
POLR1A,1.07897,0,4,1,0,0,1
SETD8,1.07897,0,4,1,0,0,0
TAF3,1.07897,0,4,1,0,0,0
ZNF397,1.07897,0,4,1,0,0,5
ZNF526,1.07589,0,6,1,1,0.0268719,0
PPIE,1.07509,0,29,1,0,0.296479,12
SNIP1,1.07198,0,6,1,0,0.0250848,1
SSBP4,1.06458,0,8,1,1,0.0528378,0
STAT2,1.06443,0,5,1,0,0.0148005,0
RHEBL1,1.05966,0,5,1,0,0.0157755,0
SAFB,1.05772,0,9,1,1,0.0660679,0
ZNHIT6,1.05085,0,44,1,0,0.478846,32
HOXB13,1.04609,0,10,1,0,0.0776866,0
RAP1A,1.04488,0,6,1,0,0.0306242,0
U2AF2,1.04323,0,5,1,1,0.0217203,0
ZNF192,1.04089,0,5,1,0,0.0196122,0
TET1,1.03927,0.583359,7,1,0,0.0335656,9
SERTAD3,1.03715,0,4,1,1,0.0111354,1
ZNF576,1.03554,0,4,1,1,0.0114639,4
ZFPL1,1.03464,0,10,1,0,0.0800275,0
ZNF721,1.03419,0,13,1,0,0.1156,0
PHF8,1.03376,0,3,1,1,0,1
VGLL1,1.03376,0,3,1,1,0,0
WIZ,1.03376,0,3,1,1,0,0
ZNF528,1.03376,0,3,1,1,0,14
ZNF777,1.03376,0,3,1,1,0,2
ZNF71,1.0335,0,5,1,1,0.0237084,1
LHX6,1.02773,0,11,1,0,0.0932662,14
TBP,1.02635,0,17,1,0,0.164513,24
RAB4A,1.02294,0,73,1,0,0.827543,0
HES2,1.02111,0,3,1,0,0,0
MBTPS2,1.02111,0,3,1,0,0,0
MESP2,1.02111,0,3,1,0,0,0
RHOXF1,1.02111,0,3,1,0,0,0
SCAI,1.02111,0,3,1,0,0,34
